timestamp,distance_m,linear_x,angular_z,anomaly
1773869534.395,1.8521,0.300,0.000,OK
1773869534.895,1.6466,0.300,0.000,OK
1773869535.395,1.5139,0.300,0.000,OK
1773869535.895,1.3282,0.300,0.000,OK
1773869536.395,1.1629,0.300,0.000,OK
1773869536.895,0.9550,0.300,0.000,OK
1773869537.395,0.9836,0.300,0.000,OK
1773869537.895,0.8933,0.300,0.000,OK
1773869538.395,0.8213,0.300,0.000,OK
1773869538.895,0.7525,0.300,0.000,OK
1773869539.395,0.6282,0.300,0.000,OK
1773869539.895,0.6964,0.300,0.000,OK
1773869540.395,0.7649,0.300,0.000,OK
1773869540.895,0.8330,0.300,0.000,OK
1773869541.395,0.9593,0.300,0.000,OK
1773869541.895,1.0682,0.300,0.000,OK
1773869542.395,1.1463,0.300,0.000,OK
1773869542.895,1.2888,0.300,0.000,OK
1773869543.395,1.5221,0.300,0.000,OK
1773869543.895,1.7328,0.300,0.000,OK
1773869544.395,1.8969,0.300,0.000,OK
1773869544.895,1.9747,0.300,0.000,OK
1773869545.395,2.1091,0.300,0.000,OK
1773869545.895,2.0993,0.300,0.000,OK
1773869546.395,2.2497,0.300,0.000,OK
1773869546.895,2.2486,0.300,0.000,OK
1773869547.395,2.2693,0.300,0.000,OK
1773869547.895,2.3394,0.300,0.000,OK
1773869548.395,2.1484,0.300,0.000,OK
1773869548.895,2.0842,0.300,0.000,OK
1773869549.395,1.9942,0.300,0.000,OK
1773869549.896,1.8910,0.300,0.000,OK
1773869550.395,1.7441,0.300,0.000,OK
1773869550.895,1.4986,0.300,0.000,OK
1773869551.395,1.3912,0.300,0.000,OK
1773869551.895,1.2019,0.300,0.000,OK
1773869552.395,1.0987,0.300,0.000,OK
1773869552.895,1.0403,0.300,0.000,OK
1773869553.395,0.9161,0.300,0.000,OK
1773869553.895,0.8368,0.300,0.000,OK
1773869554.395,0.7501,0.300,0.000,OK
1773869554.895,0.7179,0.300,0.000,OK
1773869555.395,0.7958,0.300,0.000,OK
1773869555.895,0.7076,0.300,0.000,OK
1773869556.397,0.7682,0.300,0.000,OK
1773869556.895,1.0569,0.300,0.000,OK
1773869557.396,0.9562,0.300,0.000,OK
1773869557.895,1.1547,0.300,0.000,OK
1773869558.397,1.3709,0.300,0.000,OK
1773869558.897,1.4903,0.300,0.000,OK
1773869559.397,1.6726,0.300,0.000,OK
1773869559.896,1.7901,0.300,0.000,OK
1773869560.399,2.0110,0.300,0.000,OK
1773869560.895,2.0780,0.300,0.000,OK
1773869561.396,2.1549,0.300,0.000,OK
1773869561.895,2.1855,0.300,0.000,OK
1773869562.396,2.2855,0.300,0.000,OK
1773869562.895,2.1630,0.300,0.000,OK
1773869563.396,2.2237,0.300,0.000,OK
1773869563.895,2.2526,0.300,0.000,OK
1773869564.395,2.0836,0.300,0.000,OK
1773869564.895,2.0553,0.300,0.000,OK
1773869565.395,2.0106,0.300,0.000,OK
1773869565.895,1.8480,0.300,0.000,OK
1773869566.395,1.6557,0.300,0.000,OK
1773869566.895,1.5420,0.300,0.000,OK
1773869567.395,1.3612,0.300,0.000,OK
1773869567.895,1.1444,0.300,0.000,OK
1773869568.395,1.0546,0.300,0.000,OK
1773869568.895,0.9068,0.300,0.000,OK
1773869569.395,0.7724,0.300,0.000,OK
1773869569.895,0.7792,0.300,0.000,OK
1773869570.395,0.6090,0.300,0.000,OK
1773869570.895,0.7385,0.300,0.000,OK
1773869571.395,0.7379,0.300,0.000,OK
1773869571.895,0.7739,0.300,0.000,OK
1773869572.395,0.8628,0.300,0.000,OK
1773869572.895,0.9498,0.300,0.000,OK
1773869573.395,1.0369,0.300,0.000,OK
1773869573.895,1.2039,0.300,0.000,OK
1773869574.395,1.3188,0.300,0.000,OK
1773869574.895,1.5558,0.300,0.000,OK
1773869575.395,1.6743,0.300,0.000,OK
1773869575.895,1.8581,0.300,0.000,OK
1773869576.395,1.9829,0.300,0.000,OK
1773869576.895,2.1274,0.300,0.000,OK
1773869577.395,2.2134,0.300,0.000,OK
1773869577.895,2.3819,0.300,0.000,OK
1773869578.395,2.2534,0.300,0.000,OK
1773869578.895,2.2937,0.300,0.000,OK
1773869579.395,2.2944,0.300,0.000,OK
1773869579.895,2.2225,0.300,0.000,OK
1773869580.395,2.1705,0.300,0.000,OK
